variableName;function;nameSpace;dataType;initialValue;address
20_O_On;Liga;Master[20];Boolean;False;root/stations/020-Master/$Inputs/...
20_O_Off;Desliga;Master[20];Boolean;False;root/stations/020-Master/$Inputs/...
20_O_Controler_On;Controladora Ligada;Master[20];Boolean;False;root/stations/020-Master/$Inputs/...
20_I_Led_On;Liga Led On;Master[20];Boolean;False;root/stations/020-Master/$Outputs/...
20_I_Led_Off;Liga Led Of;Master[20];Boolean;False;root/stations/020-Master/$Outputs/...
20_I_Conveyor;Liga Esteira;Master[20];Boolean;False;root/stations/020-Master/$Outputs/...
22_F_Led_On;Liga Led On;Master[20];Boolean;False;root/stations/020-Master/$Feedback/...
22_F_Led_Off;Liga Led Of;Master[20];Boolean;False;root/stations/020-Master/$Feedback/...
22_F_Conveyor;Liga Esteira;Master[20];Boolean;False;root/stations/020-Master/$Feedback/...
34_O_Cart_Stat;Carrinho Na Estação;AS-IConveyorTest[30];Boolean;False;root/stations/030-Conveyor/Test/$Inputs/...
34_O_Cart_Next;Carrinho Antes da Próxima;AS-IConveyorTest[30];Boolean;False;root/stations/030-Conveyor/Test/$Inputs/...
34_O_Optic;Sensor Peça;AS-IConveyorTest[30];Boolean;False;root/stations/030-Conveyor/Test/$Inputs/...
34_O_Count;Contagem (qual carrinho);AS-IConveyorTest[30];Boolean;False;root/stations/030-Conveyor/Test/$Inputs/...
34_O_Pist_Bck;Sensor Atuador;AS-IConveyorTest[30];Boolean;False;root/stations/030-Conveyor/Test/$Inputs/...
34_I_Cart_Test;Abre Pino Carrinho Testing;AS-IConveyorTest[30];Boolean;False;root/stations/030-Conveyor/Test/$Outputs/...
34_F_Release_FB;FeedBack Pino;AS-IConveyorTest[30];Boolean;False;root/stations/030-Conveyor/Test/$Feedback/...
34_R_PartStop;Peça deve parar na estação;AS-IConveyorTest[30];Boolean;False;root/stations/030-Conveyor/Test/$RFID/...
34_R_PartMove;Peça liberada para seguir;AS-IConveyorTest[30];Boolean;False;root/stations/030-Conveyor/Test/$RFID/...
34_R_PartReady;Operações finalizadas;AS-IConveyorTest[30];Boolean;False;root/stations/030-Conveyor/Test/$RFID/...
35_O_Cart_Stat;Carrinho Na Estação;AS-IConveyorProc[30];Boolean;False;root/stations/030-Conveyor/Processing/$Inputs/...
35_O_Cart_Next;Carrinho Antes da Próxima;AS-IConveyorProc[30];Boolean;False;root/stations/030-Conveyor/Processing/$Inputs/...
35_O_Optic;Sensor Peça;AS-IConveyorProc[30];Boolean;False;root/stations/030-Conveyor/Processing/$Inputs/...
35_O_Count;Contagem (qual carrinho);AS-IConveyorProc[30];Boolean;False;root/stations/030-Conveyor/Processing/$Inputs/...
35_O_Pist_Bck;Sensor Atuador;AS-IConveyorProc[30];Boolean;False;root/stations/030-Conveyor/Processing/$Inputs/...
35_I_Cart_Proc;Abre Pino Carrinho Processing;AS-IConveyorProc[30];Boolean;False;root/stations/030-Conveyor/Processing/$Outputs/...
35_F_Release_FB;FeedBack Pino;AS-IConveyorProc[30];Boolean;False;root/stations/030-Conveyor/Processing/$Feedback/...
35_R_PartStop;Peça deve parar na estação;AS-IConveyorProc[30];Boolean;False;root/stations/030-Conveyor/Processing/$RFID/...
35_R_PartMove;Peça liberada para seguir;AS-IConveyorProc[30];Boolean;False;root/stations/030-Conveyor/Processing/$RFID/...
35_R_PartReady;Operações finalizadas;AS-IConveyorProc[30];Boolean;False;root/stations/030-Conveyor/Processing/$RFID/...
36_O_Cart_Stat;Carrinho Na Estação;AS-IConveyorVisi[30];Boolean;False;root/stations/030-Conveyor/Vision/$Inputs/...
36_O_Cart_Next;Carrinho Antes da Próxima;AS-IConveyorVisi[30];Boolean;False;root/stations/030-Conveyor/Vision/$Inputs/...
36_O_Optic;Sensor Peça;AS-IConveyorVisi[30];Boolean;False;root/stations/030-Conveyor/Vision/$Inputs/...
36_O_Count;Contagem (qual carrinho);AS-IConveyorVisi[30];Boolean;False;root/stations/030-Conveyor/Vision/$Inputs/...
36_O_Pist_Bck;Sensor Atuador;AS-IConveyorVisi[30];Boolean;False;root/stations/030-Conveyor/Vision/$Inputs/...
36_I_Cart_Vision;Abre Pino Carrinho Vision;AS-IConveyorVisi[30];Boolean;False;root/stations/030-Conveyor/Vision/$Outputs/...
36_F_Release_FB;FeedBack Pino;AS-IConveyorVisi[30];Boolean;False;root/stations/030-Conveyor/Vision/$Feedback/...
37_O_Cart_Stat;Carrinho Na Estação;AS-IConveyorRobo[30];Boolean;False;root/stations/030-Conveyor/Robot/$Inputs/...
37_O_Cart_Next;Carrinho Antes da Próxima;AS-IConveyorRobo[30];Boolean;False;root/stations/030-Conveyor/Robot/$Inputs/...
37_O_Optic;Sensor Peça;AS-IConveyorRobo[30];Boolean;False;root/stations/030-Conveyor/Robot/$Inputs/...
37_O_Count;Contagem (qual carrinho);AS-IConveyorRobo[30];Boolean;False;root/stations/030-Conveyor/Robot/$Inputs/...
37_O_Pist_Bck;Sensor Atuador;AS-IConveyorRobo[30];Boolean;False;root/stations/030-Conveyor/Robot/$Inputs/...
37_I_Cart_Robot;Abre Pino Carrinho Robot;AS-IConveyorRobo[30];Boolean;False;root/stations/030-Conveyor/Robot/$Outputs/...
37_F_Release_FB;FeedBack Pino;AS-IConveyorRobo[30];Boolean;False;root/stations/030-Conveyor/Robot/$Feedback/...
37_R_PartStop;Peça deve parar na estação;AS-IConveyorRobo[30];Boolean;False;root/stations/030-Conveyor/Robot/$RFID/...
37_R_PartMove;Peça liberada para seguir;AS-IConveyorRobo[30];Boolean;False;root/stations/030-Conveyor/Robot/$RFID/...
37_R_PartReady;Operações finalizadas;AS-IConveyorRobo[30];Boolean;False;root/stations/030-Conveyor/Robot/$RFID/...
38_O_Cart_Stat;Carrinho Na Estação;AS-IConveyorStor[30];Boolean;False;root/stations/030-Conveyor/Storage/$Inputs/...
38_O_Cart_Next;Carrinho Antes da Próxima;AS-IConveyorStor[30];Boolean;False;root/stations/030-Conveyor/Storage/$Inputs/...
38_O_Optic;Sensor Peça;AS-IConveyorStor[30];Boolean;False;root/stations/030-Conveyor/Storage/$Inputs/...
38_O_Count;Contagem (qual carrinho);AS-IConveyorStor[30];Boolean;False;root/stations/030-Conveyor/Storage/$Inputs/...
38_O_Pist_Bck;Sensor Atuador;AS-IConveyorStor[30];Boolean;False;root/stations/030-Conveyor/Storage/$Inputs/...
38_I_Cart_Storage;Abre Pino Carrinho Storage;AS-IConveyorStor[30];Boolean;False;root/stations/030-Conveyor/Storage/$Outputs/...
38_F_Release_FB;FeedBack Pino;AS-IConveyorStor[30];Boolean;False;root/stations/030-Conveyor/Storage/$Feedback/...
38_R_PartStop;Peça deve parar na estação;AS-IConveyorStor[30];Boolean;False;root/stations/030-Conveyor/Storage/$RFID/...
38_R_PartMove;Peça liberada para seguir;AS-IConveyorStor[30];Boolean;False;root/stations/030-Conveyor/Storage/$RFID/...
38_R_PartReady;Operações finalizadas;AS-IConveyorStor[30];Boolean;False;root/stations/030-Conveyor/Storage/$RFID/...
39_O_Cart_Stat;Carrinho Na Estação;AS-IConveyorSort[30];Boolean;False;root/stations/030-Conveyor/Sorting/$Inputs/...
39_O_Cart_Next;Carrinho Antes da Próxima;AS-IConveyorSort[30];Boolean;False;root/stations/030-Conveyor/Sorting/$Inputs/...
39_O_Optic;Sensor Peça;AS-IConveyorSort[30];Boolean;False;root/stations/030-Conveyor/Sorting/$Inputs/...
39_O_Count;Contagem (qual carrinho);AS-IConveyorSort[30];Boolean;False;root/stations/030-Conveyor/Sorting/$Inputs/...
39_O_Pist_Bck;Sensor Atuador;AS-IConveyorSort[30];Boolean;False;root/stations/030-Conveyor/Sorting/$Inputs/...
39_I_Cart_Sort;Abre Pino Carrinho Sorting;AS-IConveyorSort[30];Boolean;False;root/stations/030-Conveyor/Sorting/$Outputs/...
39_F_Release_FB;FeedBack Pino;AS-IConveyorSort[30];Boolean;False;root/stations/030-Conveyor/Sorting/$Feedback/...
40_Input;;Storage[40];Boolean;False;root/stations/040-Storage/$Inputs/...
40_Output;;Storage[40];Boolean;False;root/stations/040-Storage/$Outputs/...
40_Feedback;;Storage[40];Boolean;False;root/stations/040-Storage/$Feedback/...
50_O_Part_Reserve;Sensor de Peça no Berço;Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
50_O_Claw_Cart;Sensor de Garra na Posição Berço;Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
50_O_Claw_Del;Sensor de Garra na Posição Entrega Peça;Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
50_O_Claw_Reserve;Sensor de Passagem do Meio do Trajeto;Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
50_O_Claw_Low;Garra abaixada;Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
50_O_Claw_High;Garra levantada;Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
50_O_Part_in_Claw;Peça na garra;Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
51_O_On;Liga;Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
51_O_Off;Desliga;Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
51_O_Key_Pos;Chave;Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
51_O_Reset;Reset;Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
51_O_Panel_I4;Painel I4 (Conexão banana);Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
51_O_Panel_I5;Painel I5 (Conexão banana);Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
51_O_Panel_I6;Painel I6 (Conexão banana);Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
51_O_Panel_I7;Painel 17 (Conexão banana);Handling[50];Boolean;False;root/stations/050-Handling1/$Inputs/...
50_I_Claw_2_Del;Movimenta Garra Sentido Berço;Handling[50];Boolean;False;root/stations/050-Handling1/$Outputs/...
50_I_Claw_2_Cart;Movimenta Garra Sentido Entrega de Peça;Handling[50];Boolean;False;root/stations/050-Handling1/$Outputs/...
50_I_Claw_Down;Abaixar Garra;Handling[50];Boolean;False;root/stations/050-Handling1/$Outputs/...
50_I_Close_Claw;Abrir Garra;Handling[50];Boolean;False;root/stations/050-Handling1/$Outputs/...
51_I_Led_Start;LED Start;Handling[50];Boolean;False;root/stations/050-Handling1/$Outputs/...
51_I_Led_Reset;LED Reset;Handling[50];Boolean;False;root/stations/050-Handling1/$Outputs/...
51_I_Led_Extra1;LED Extra 1;Handling[50];Boolean;False;root/stations/050-Handling1/$Outputs/...
51_I_Led_Extra2;LED Extra 2;Handling[50];Boolean;False;root/stations/050-Handling1/$Outputs/...
51_I_Panel_O4;Painel OUT 4 (Conexão banana);Handling[50];Boolean;False;root/stations/050-Handling1/$Outputs/...
51_I_Panel_O5;Painel OUT 5 (Conexão banana);Handling[50];Boolean;False;root/stations/050-Handling1/$Outputs/...
51_I_Panel_O6;Painel OUT 6 (Conexão banana);Handling[50];Boolean;False;root/stations/050-Handling1/$Outputs/...
51_I_Panel_O7;Painel OUT 7 (Conexão banana);Handling[50];Boolean;False;root/stations/050-Handling1/$Outputs/...
52_F_Claw_2_Del;Movimenta Garra Sentido Berço;Handling[50];Boolean;False;root/stations/050-Handling1/$Feedback/...
52_F_Claw_2_Cart;Movimenta Garra Sentido Entrega de Peça;Handling[50];Boolean;False;root/stations/050-Handling1/$Feedback/...
52_F_Claw_Down;Abaixar Garra;Handling[50];Boolean;False;root/stations/050-Handling1/$Feedback/...
52_F_Close_Claw;Abrir Garra;Handling[50];Boolean;False;root/stations/050-Handling1/$Feedback/...
53_F_Led_Start;LED Start;Handling[50];Boolean;False;root/stations/050-Handling1/$Feedback/...
53_F_Led_Reset;LED Reset;Handling[50];Boolean;False;root/stations/050-Handling1/$Feedback/...
53_F_Led_Extra1;LED Extra 1;Handling[50];Boolean;False;root/stations/050-Handling1/$Feedback/...
53_F_Led_Extra2;LED Extra 2;Handling[50];Boolean;False;root/stations/050-Handling1/$Feedback/...
53_F_Panel_O4;Painel OUT 4 (Conexão banana);Handling[50];Boolean;False;root/stations/050-Handling1/$Feedback/...
53_F_Panel_O5;Painel OUT 5 (Conexão banana);Handling[50];Boolean;False;root/stations/050-Handling1/$Feedback/...
53_F_Panel_O6;Painel OUT 6 (Conexão banana);Handling[50];Boolean;False;root/stations/050-Handling1/$Feedback/...
53_F_Panel_O7;Painel OUT 7 (Conexão banana);Handling[50];Boolean;False;root/stations/050-Handling1/$Feedback/...
60_O_S_Part;Sensor Peça;Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
60_O_S_Ind;Sensor Indutivo;Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
60_O_S_Photo;Sensor Fotoelétrico;Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
60_O_Part_Pass;Sensor de Passagem de Peça;Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
60_O_SL1_Bck;Sensor da Alavanca Posição 1 Recuado;Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
60_O_SL1_Fwd;Sensor da Alavanca Posição 1 Avançado;Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
60_O_SL2_Bck;Sensor da Alavanca Posição 2 Recuado;Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
60_O_SL2_Fwd;Sensor da Alavanca Posição 2 Avançado;Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
61_O_On;Liga;Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
61_O_Off;Desliga;Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
61_O_Key_Pos;Chave;Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
61_O_Reset;Reset;Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
61_O_Panel_I4;Painel I4 (Conexão banana);Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
61_O_Panel_I5;Painel I5 (Conexão banana);Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
61_O_Panel_I6;Painel I6 (Conexão banana);Sorting[60];Boolean;False;root/stations/060-Sorting/$Inputs/...
